Course_Code,Course_Name_TH,Course_Name_EN,Description_TH,Description_EN,IS_ELECTIVE,Learning Outcome,Credits
5. Use a development framework such as jQuery, Angular, Laravel, ASP.NET MVC, Django, 
or WordPress, industry-standard tools and technologies for web and mobile development. 
6. Make sense of the terms Personal Information, Personally Identifiable Information, De
Identification, Anonymization, Pseudonym, Masking, and Unmasking,  policies and 
technologies for isolating personal data from enterprise data. 
7. Classify several categories of personal information according to privacy and disclosure 
risk. 
8. Contrast policies for collecting, processing, storing, sharing, and disposing of personal 
information. 
9. Analyze approaches for controlling access to personal information. 
10. Contrast client-side with server-side security issues. 
11. Recognize password guessing, port scanning, SQL injection probes, and other 
cyberattacks in log files.  
12. Build and debug app programs using standard libraries, unit testing tools, and debuggers.  
13. Write programs that use data structures (built-in, library, and programmer-defined): strings, 
lists, and maps.  
14. Design and implement a simple interactive web-based application (for example, a simple 
web form that collects information from the client and stores it in a file on the server. 
15. Illustrate the difference between asynchronous and synchronous communication on the 
web. ",FALSE,,
INT101,,PROGRAMMING FUNDAMENTALS,"หลักการขั้นพื้นฐานของสถาปัตยกรรมฮาร์ดแวร์และซอฟต์แวร์สำหรับการเขียนโปรแกรม 
แนวคิดขั้นพื้นฐานของการเขียนโปรแกรมเชิงวัตถุ: คลาส, วัตถุ, แอตทริบิว, เมท็อด; โครงสร้างของ
 โปรแกรม: ชนิดข้อมูล (ตัวเลข ตรรกะ อักขระ) ตัวแปร ค่าคงตัว ตัวดำเนินการและนิพจน์ (เลขคณิต 
ตรรกะ) ข้อความสั่ง (การกำหนดค่า การเลือก การวนซ้ำ การจัดการความผิดปกติ) โพรซีเดอร์และการ
 กำหนดพารามิเตอร์ ไลบรารี ส่วนต่อประสานโปรแกรม โครงสร้างข้อมูลและขั้นตอนวิธีขั้นพื้นฐาน: อาร์เรย์ 
ลิงค์ลิสต์ การสร้าง การแก้จุดบกพร่อง และการทดสอบโปรแกรม การออกแบบโปรแกรมขั้นพื้นฐาน 
รูปแบบการเขียนโปรแกรมและการทำเอกสารกำกับโปรแกรม","Basic abstractions of software and hardware architectures for programming. Basic 
concepts of object-oriented programming: classes, objects, attributes, and methods. Programming 
constructs: data types (numeric, Boolean, characters), variables, constants, (arithmetic, logical) 
operators and expressions, statements (assignment, selection, repetition, exception handling), 
procedures and parameterization, libraries, and programming interfaces. Basic data structures and 
algorithms: arrays, linked lists. Building, debugging, and testing programs. Design of simple 
programs, programming styles and documentation. Course Learning Outcomes 
1. Explain basic abstractions of software and hardware architectures involved in developing a 
simple program and abstractions used to represent digital data. 
2. Describe how classes and objects can be used to build a simple program, how a 
programming interface is used in programming, and illustrate with an example when the 
use of a programming interface simplified the development of a system, and why and how 
algorithms solve simple computational problems. 
3. Select appropriate built-in data types and library data structures (abstract data types) to 
model, represent, and process program data. 
4. Use procedures and parameterization to reduce the complexity of writing and maintaining 
simple programs and to generalize solutions. 
5. Compare multiple levels of abstraction to write programs (constants, expressions, 
statements, procedures, parameterization, and libraries). 
6. Develop abstractions when writing a simple program or an IT artifact. 
80 
7. Explain appropriateness of iterative and recursive problem solutions. 
8. Write programs that use iterative and recursive techniques to solve simple computational 
problems. 
9. Build and debug simple programs using standard libraries, unit testing tools, and 
debuggers. 
10. Evaluate readability and clarity of programs based on program style, documentation, pre- 
and post-conditions, and procedural abstractions.",FALSE,,
INT20102,,JAVASCRIPT IN THE BROWSER,"การเขียนโปรแกรมภาษา JavaScript ขั้นสูง: การเขียนโปรแกรมเชิงวัตถุและเชิงฟังก์ชัน; การเขียนโปรแกรมฝั่งไคลเอนต์ขั้นสูง: การจัดการสคริปต์ CSS, การจัดการสคริปต์สื่อและกราฟิก, หน่วยเก็บข้อมูลฝั่งไคลเอนต์, การจัดการประวัติการเข้าชม; ไลบรารีและเฟรมเวิร์กสำหรับ JavaScript; เฟรมเวิร์กสำหรับโปรแกรมประยุกต์หน้าเดียว (SPA); การพัฒนา การทดสอบ และการติดตั้งใช้งานโปรแกรมฝั่งไคลเอนต์","Advanced JavaScript programming: object-oriented and functional programming. 
Advanced client-side programming: CSS scripting, media and graphic scripting, client-side storage, 
history management. JavaScript libraries and frameworks. Single Page Application ( SPA) 
frameworks. Developing, testing, and deploying client-side programs. 
1. Describe how scripting languages are used for web scripting, server-side scripting, and 
operating system scripting.  
2. Describe how the Fair Information Practices apply to personal information and how online 
entities collect and use personal information. 
3. Make sense of the terms Personal Information, Personally Identifiable Information, De
Identification, Anonymization, Pseudonym, Masking, and Unmasking.  
4. Classify several categories of personal information according to privacy and disclosure 
risk. 
5. Contrast policies for collecting, processing, storing, sharing, and disposing of personal 
information. 
6. Illustrate the role and limitations of encryption for protecting personal information. 
7. Make sense of policies and technologies for isolating personal data from enterprise data. 
8. Analyze approaches for controlling access to personal information. 
9. Contrast client-side with server-side security issues and evidence-based security vs. code 
access security. 
10. Define and evaluate several goals of secure coding. 
11. Justify the guidelines for authenticating and defining permissions to systems services and 
resources. 
12. For each of the following “best secure coding” practices, give an example of a problem 
that can occur when the practice is not followed and then describe how to overcome the 
problem. 
a. Preventing buffer overflow 
b. Securing state data and method access 
c. Wrapper code 
d. Unmanaged code 
e. Validation of user input 
f. 
Remoting considerations 
g. Protected objects 
h. Serialization 
i. 
Robust error handling 
13. Use collaboration tools such as GitHub to work with a team on a web or mobile 
application. ",FALSE,,
INT205,,DATABASE MANAGEMENT SYSTEM,ความรู้เบื้องต้นเกี่ยวกับฐานข้อมูล แนวคิดของฐานข้อมูลเชิงสัมพันธ์ การออกแบบฐานข้อมูลด้วยแบบจำลองความสัมพันธ์ของข้อมูล กระบวนการนอร์มอลไลซ์ การเขียนเอสคิวแอลซับคิวรี การสร้างวิว และแนวคิดระบบคลังข้อมูลขั้นพื้นฐาน,"Introduction to databases, relational database concept, database design using entity
relationship model, normalization, writing SQL subqueries, creating view, basic data warehouse 
concepts. 
Course Learning Outcomes 
1. Tell a brief history of database models and their evolution. 
2. Describe  
a. how data storage and retrieval has changed over time. 
b. mechanisms for data collection and their implications (automated data collection, input 
forms, sources). 
c. basic issues of data retention, including the need for retention, physical storage, 
backup, and security. 
d. how the growth of the internet and demands for information for users outside the 
organization (customers and suppliers) impact data handling and processing. 
e. the role of data, information, and databases in organizations. 
f. 
the relationship between a logical model and a physical model. 
g. how the data warehouse concept relates to enterprise information integration. 
3. Justify the advantages of a database approach compared to traditional file processing. 
4. Compare and use key terms such as: information, data, database, database management 
system, metadata, and data mining. 
92 
5. Illustrate data quality, accuracy, and timeliness, and explain how their absence will impact 
organizations. 
6. Express the relationship between functional dependencies and keys and give examples. 
7. Design Entity Relationship diagrams based on appropriate organizational rules for a given 
scenario. 
8. Evaluate importance of database constraints. 
9. Design a physical model for the best performance including impact of normalization and 
indexes. 
10. Compare and contrast the differences and similarities between the relational and the 
dimensional data modeling (OLTP vs. OLAP). 
11. Evaluate data integrity and provide examples of entity and referential integrity. 
12. Demonstrate an understanding of online analytical processing and data warehouse 
systems. 
13. Create updatable and non-updatable views",FALSE,,
INT207,,NETWORK I,"ระบบไม่ระบุตัวตน มุมมอง ผลกระทบและองค์ประกอบเครือข่าย มาตรฐานเครือข่าย IEEE802 
คุณลักษณะต่างๆ ของการสื่อสารข้อมูล หมายเลข IP อีเทอร์เน็ต คุณลักษณะกฎกติกาการสื่อสาร การบริหารจัดการเครือข่าย เทคโนโลยีเว็บ โมเดล OSI อุปกรณ์ โครงสร้างการเชื่อมต่อ การเขียนโปรแกรมติดต่อบริการเว็บ","anonymity systems, perspectives and impact, components, devices, benefits, network 
standards, IEEE802, data communication characteristics, IP addressing, Ethernet, client server on 
LAN, protocol characteristics, troubleshoot LANs and devices, network management issues, 
network management architecture, management console, web stack technologies, network 
services, OSI model, connection services, network devices, topologies, protocol suites, network 
standards, web services, socket programming 
Course Learning Outcomes 
1. Compare limitations and strengths of anonymous communication systems 
2. Identify components of a network, devices and their purpose 
3. Describe how IT uses or benefits from network 
4. Identify current network standards 
5. Contrast OSI and Internet models 
6. Express network media and distinguish between LANs and WANs 
7. Describe how communication characteristics impact data communication performance 
8. Deploy and troubleshoot basic Ethernet LAN 
9. Exhibit the concepts of IP protocol suite 
10. Illustrate roles and responsibilities of clients and servers 
11. Describe several web technologies and characteristics of web servers 
12. Discuss issues and architecture related to network management 
13. Discuss major network protocols and services, e.g. TCP/UDP, IPv4, IPv6, ARP, DHCP, 
DNS",FALSE,,
INT214,,STATISTICS FOR INFORMATION TECHNOLOGY,การประยุกต์สถิติเพื่อใช้ประมวลผลข้อมูลทางวิทยาศาสตร์ ข้อมูลสำหรับใช้งานทางธุรกิจ การประมวลผลข้อมูลปริมาณมาก ค่าสถิติพื้นฐาน ค่าสถิติเชิงพรรณนา ค่าสถิติเชิงอนุมาน การจัดกลุ่มข้อมูล การสุ่มตัวอย่าง ทฤษฎีของเบย์ การแจกแจงความน่าจะเป็น การแจกแจงข้อมูลแบบปกติ การแจกแจงแบบพัวซอง การกำหนดและทดสอบสมมติฐาน การถดถอยเพื่อการพยากรณ์ ค่าสหสัมพันธ์ การวิเคราะห์ความแปรปรวน และการสร้างกราฟ ตารางนำเสนอข้อมูลที่เหมาะสม การใช้งานโปรแกรมคอมพิวเตอร์ประมวลผลค่าทางสถิติ,"Application of statistic in data science, business and big data processing, basic statistics, 
descriptive statistics, inference statistics, data clustering, sampling, Bayes theory, probability 
distribution, normal distribution, Poisson distribution, regression, correlation, analysis of variance 
and data visualization, the use of statistical package 
Course Learning Outcomes 
1. Frame problems using multiple statistical representations of relevant structures and 
relationships and solve using standard techniques. 
2. Apply quantitative models to solve real world problems in appropriate contexts. 
3. Effectively use professional level technology tools to support the study of statistics. 
4. Summarize data visually and numerically. 
5. Learn and apply the tools of formal inference. 
6. Execute statistical analyses with professional software. 
7. Recognize and appreciate the connections between theory and applications. 
8. Be life-long learners who are able to independently expand their mathematical or statistical 
expertise when needed, or for interest’s sake. 
9. Use statistical reasoning, formulate a problem in statistical terms, perform exploratory 
analysis of data by graphical and other means, and carry out a variety of formal inference 
procedures. 
10. Describe important theoretical results and understand how they can be applied to answer 
statistical questions. 
11. Have communication skills which are necessary to effectively collaborate as part of 
interdisciplinary teams including the ability to interpret and communicate the results of a 
statistical analysis through oral and written reports.",FALSE,,
INT222,,INFORMATION TECHNOLOGY INTEGRATED PROJECT II,"โครงงานบูรณาการส่วนที่ 2 เป็นงานต่อเนื่องจากโครงงานบูรณาการส่วนที่ 1 (INT XXX) 
นักศึกษาต้องเขียนโปรแกรมให้เสร็จสมบูรณ์ ทดสอบ และติดตั้งระบบ ","This course is a continuation of INT 221 Students must complete the implementation, 
testing, and deployment. 
Course Learning Outcomes 
1. practice software development by follow the project requirements  
2. Implement and deliver a completed software product with proper testing of its system ",FALSE,,
INT305,,SEMI-STRUCTURED AND UNSTRUCTURED DATA MANAGEMENT,โครงสร้างข้อมูลแบบเอกซ์เอ็มแอล เมทาดาทา ข้อมูลแบบกึ่งโครงสร้าง ความแตกต่างระหว่างเอกสารเอกซ์เอ็มแอลที่มีรูปแบบถูกต้องและเอกสารเอกซ์เอ็มแอลที่ถูกต้องสมบูรณ์ การใช้คำนิยามชนิดเอกสาร การสร้างข้อกำหนดเอกสารสำหรับโครงสร้างข้อมูล เนมสเปซ เอกซ์เอสแอล เอกซ์เอสแอลที เอกซ์พาธ์ และเอกซ์คิวรี โครงสร้างข้อมูลแบบโนเอสคิวแอล ความแตกต่างระหว่างโนเอสคิวแอลและเอสคิวแอล โนเอสคิวแอลประเภทต่าง ๆ การเลือกประเภทของโนเอสคิวแอลให้เหมาะกับลักษณะงานที่ต้องการ การจัดเก็บและแลกเปลี่ยนข้อมูลด้วยรูปแบบเจสัน,"XML structure, metadata, semi-structured data, the difference between well-formed and 
valid XML, a document type definition, writing XML definition, namespace, XSL, XSLT, XPath and 
XQuery. NoSQL structure, the difference between NoSQL and SQL, document-based, key-value 
stores, column-based, graph-based type of NoSQL, selecting proper type of NoSQL for specific 
tasks, store and exchange data using JSON format 
Course Learning Outcomes 
1. Describe major concepts of object oriented, XML, NewSQL, and NoSQL databases. 
2. Produce a definition for the term ‘metadata.’ 
3. Describe how ASCII, EBCDIC, and Unicode are used to encode data, and show how each 
should be used. 
98 
4. Describe how XML and the document object model are being used to integrate and 
exchange data between systems. 
5. Use DTD to create a document definition for a data structure. Given a DTD for data 
structure, create an XML document with real data. 
6. Describe how XSL, XSLT and XPath are used to transform data streams. 
7. Describe how XQuery and XPath are used to query XML data. 
8. Contrast and compare relational databases concepts and non-relational databases 
including object-oriented, XML, NewSQL and NoSQL databases.",FALSE,,
INT307,,SECURITY I,"การรักษาความมั่นคงที่ใช้งานได้จริง  การลดความเสี่ยงและการกู้คืน  ประเด็นในการปฏิบัติด้าน
 ความมั่นคง การรายงานข้อมูลด้านความมั่นคง  ความมั่นคงสำหรับระบบคลาวด์ ความมั่นคงของบุคลากร
 และบุคคล มิติทางสังคม ","Usable security, mitigation and recovery, operational issues, reporting requirements, 
cloud security, personnel and human security, social dimensions 
Course Learning Outcomes 
1. Describe how the concept of “psychological acceptability” and and the importance of 
usability  
2. Analyze a security policy and/or procedure to show where it considers, or fails to consider, 
human factors 
3. Discuss a risk mitigation and incident recovery plan 
4. Document the managerial and forensic steps for recovery after detecting a hostile insider 
5. Contrast backup and recovery plans designed to protect against natural disasters from 
those designed to protect against hostile actors 
6. Document standards that apply to an organization’s information security posture 
7. Make meaning of the inherent tension between the concepts of personal privacy, 
accountability, and deterrence related to cybersecurity events 
8. Document legal and regulatory requiremens related to cyber security for an organization 
9. Discuss security issues related to using cloud services PaaS IaaS SaaS 
10. Discuss various issues related to personnel and human security 
11. Describe how crowdsourcing techniques such as big data and mining impacts data 
confidentiality, integrity, and availability ",FALSE,,
INT314,,APPLIED MATHEMATIC FOR DATA SCIENCE,สถิติสำหรับนักวิทยาศาสตร์ข้อมูล โมเดลของข้อมูลที่อยู่บนพื้นฐานของความน่าจะเป็น การประมาณความหนาแน่นของข้อมูลและปัญหาที่เกี่ยวข้อง การแก้ปัญหาด้วยกำลังสองน้อยที่สุด พีชคณิตเชิงเส้น พีชคณิตเมทริกซ์ เคอร์เนลและการแปลงคุณลักษณะ ตัวแบบเชิงเส้น การหาค่าเหมาะที่สุดโดยพิจารณาการเอียงลาดลงของเกรเดียนต์และการใช้สโทแคสติกเกรเดียนต์ การแยกค่าเอกฐาน การลดมิติ ทฤษฎีสารสนเทศ และฟังก์ชันเวียนบังเกิด,"Statistic for data science, Probabilistic Data Model, Density Estimation & Related 
Problems, Least Squares problems, Linear algebra, Matrix algebra,  Kernels and Feature Maps, 
Linear model, Gradient Descent and Stochastic Gradient Optimization, Singular Value 
Decomposition, Dimensionality Reduction, Information theory, Recursive functionCourse Learning Outcomes 
1. Explain statistical techniques the frequently used for data preprocessing, modeling and 
evaluation.  
2. Explain least squares problems and it’s application.  
3. Apply probabilistic data model to appropriate data. 
4. Relate density estimation & Related Problems. 
5. Solve basic computational methods in calculus, algebra, and differential equations. 
6. Explain kernels and feature maps.  
7. Apply gradient descent and stochastic gradient for optimization problem.  
8. Explain singular value decomposition and it’s application.  
9. Discuss how to apply dimensionality reduction appropriately.  
10. Relate mathematical concepts to problems arising in data science. 
11. Derive general principles from examples. 
12. Illustrate mathematical concepts clearly.",FALSE,,
INT321,,INFORMATION TECHNOLOGY SEMINAR I,"นักศึกษาจะต้องเข้าร่วมสัมมนาในหัวข้อที่นักศึกษาสนใจที่มีอาจารย์ประจำวิชารับรองก่อนเข้า
 ร่วมสัมมนา โดยนักศึกษาต้องมีจำนวนชั่วโมงสัมมนาไม่น้อยกว่า 15 ชั่วโมงต่อปีการศึกษา โดยเป็นสัมมนา
 ที่จัดภายในหรือภายนอกมหาวิทยาลัย และมีการจัดทำรายงานผล ","Students must attend seminars hosted by the university or external organizations, where they engage in intensive study of specialized topics for at least 15 hours per academic year, and must submit a seminar report afterward.

Course Learning Outcomes:

Demonstrate an active attitude toward learning from experts.

Understand IT disciplines and explore new areas of knowledge.

Express ideas or knowledge gained from the seminars clearly and effectively.",FALSE,,
INT361,,RESEARCH PROJECT I,"โครงงานวิจัยสำหรับนักศึกษาปี 3 เทอม 2  การนำเสนอหัวข้อวิจัย ความชัดเจนของคำถามวิจัย 
การศึกษางานวิจัยที่เกี่ยวข้องกระบวนการดำเนินการวิจัย รายงานและการนำเสนอความก้าวหน้า ","Research project for the second semester of junior students; research proposal, clarity of 
research question, literature reviews, research methodology, research progress report and 
presentation 
Course Learning Outcomes 
1. identify appropriate research topics 
2. prepare research proposal, including an appropriate feasibility study and proper research 
planning  
3. Identify and utilize relevant previous works that support their research 
4. identify and demonstrate appropriate research methodologies  
5. deliver a good project presentation with a range of audiences. ",FALSE,,
INT365,,INFORMATION TECHNOLOGY CAPSTONE PROJECT I,"โครงงานรวบยอดเทคโนโลยีสารสนเทศสำหรับนักศึกษาปี 3 เทอม 2 การนำเสนอโครงงาน 
การศึกษาความเป็นไปได้ การวิเคราะห์และออกแบบ การพัฒนา รายงานและการนำเสนอผลงาน ","Information technology capstone project for the second semester of junior students; 
Information technology project proposal, feasibility study report, system analysis and design, 
implementation, report and project presentation 
Course Learning Outcomes 
1. prepare proposal of capstone project, including an appropriate feasibility study and proper 
project planning  
2. present clearly student own ideas on the capstone project 
3. produce requirement, analysis, design of the software and its system by follow software 
development methodology 
4. compare and evaluate various frameworks, libraries, and tools  
5. deliver a good project presentation with a range of audiences.",FALSE,,
INT371,,EXPERIENTIAL LEARNING PROJECT I,"โครงงานการเรียนรู้ผ่านประสบการณ์การทำงาน  1 เตรียมหัวข้อโครงงานผ่านประสบการณ์การ
 ทำงาน ศึกษาความเป็นไปได้ การวิเคราะห์และออกแบบ การพัฒนา รายงานและการนำเสนอผลงาน ","Experiential Learning Project I, Prepare for experiential learning project topic, feasibility 
study report, system analysis and design, implementation, report and project presentation 
Course Learning Outcomes 
1. prepare proposal of capstone project, from the actual working experience project  
2. produce requirement, analysis, design of the software and its system by follow software 
development methodology 
3. compare and evaluate various framseworks, libraries, and tools  
4. deliver a good project presentation with a range of audiences.",FALSE,,
INT421,การเรียนรู้ของเครื่องจักรประยุกต์,APPLIED MACHINE LEARNING,"การนำเทคนิคการเรียนรู้ของเครื่องมาประยุกต์ใช้กับชุดข้อมูลจริง, การสุ่มตัวอย่างข้อมูลและการประมวลผลก่อน, คุณลักษณะ, การประมาณความหนาแน่น, การแปลงคุณลักษณะ, การลดมิติ, การเลือกคุณลักษณะ, การวัดความเหมือนและความต่าง, การจัดกลุ่มข้อมูล, การวิเคราะห์เพื่อนบ้านใกล้ที่สุด, โมเดลของข้อมูลที่อยู่บนพื้นฐานของความน่าจะเป็น, ฟังก์ชันความสูญเสีย, แนวทางการเรียนรู้, ปัญหาความเหมาะสมเกินไป, การหาค่าความถูกต้องแบบสลับ (Cross-validation), ตัวแบบถดถอย, การถดถอยโลจิสติก, ซัพพอร์ตเวกเตอร์แมชชีน, เครือข่ายประสาทเทียม, เครือข่ายประสาทเทียมแบบลึก","Applying machine learning techniques to real word dataset, Data and Sampling Models, 
Feature, Density estimation, Feature Maps, Dimensionality Reduction, Feature Selection, Similarity 
and Distance measurement, Clustering Algorithms, Nearest Neighbor analysis, Probabilistic Data 
Model, Loss Function, Learning Approaches, Overfitting problem, Cross Validation, Regression 
models, Logistic Regression, Support Vector Machines, Artificial Neural Networks, Deep Neural 
Networks, Model evaluation and selection",TRUE,"1. Use data mining software, such as Weka, RapidMiner, Knime and H2O, to perform data 
mining. 
2. Use tools such as JavaScript and Plotly, R and RStudio, Python and Jupyter notebook and 
MapReduce/Hadoop to apply machine learning pipeline. 
3. Describe data preprocessing techniques—data integration, data cleansing, data 
transformation and data reduction. 
4. Compare decision boundary of classification models including  Logistic regression, Support 
vector machines and Artificial neural networks. 
5. Select supervised model using appropriate model evaluation technique. 
6. Identify the effect of data sampling models. 
